FCT = N.A
Loss Ratio = N.A
Reported value = 7 to 56

12:15:14       2.12 Bps   <==>   0.00 MBps
12:15:51      35.21 Bps   <==>   0.00 MBps
12:15:52  843223.82 Bps   <==>   6.75 MBps
12:15:53  364448.31 Bps   <==>   2.92 MBps
12:15:55  340627.17 Bps   <==>   2.73 MBps
12:15:56  294313.82 Bps   <==>   2.35 MBps
12:15:57  432726.44 Bps   <==>   3.46 MBps
12:15:58  549879.17 Bps   <==>   4.40 MBps
12:16:00  531976.02 Bps   <==>   4.26 MBps
12:16:01  460127.05 Bps   <==>   3.68 MBps
12:16:02  396771.80 Bps   <==>   3.17 MBps
12:16:03  434169.89 Bps   <==>   3.47 MBps
12:16:04  432635.07 Bps   <==>   3.46 MBps
12:16:05  391545.06 Bps   <==>   3.13 MBps
12:16:07  539441.09 Bps   <==>   4.32 MBps
12:16:08  668991.73 Bps   <==>   5.35 MBps
12:16:09  658481.35 Bps   <==>   5.27 MBps
12:16:10  535373.69 Bps   <==>   4.28 MBps
12:16:11  671062.45 Bps   <==>   5.37 MBps
12:16:13  762621.70 Bps   <==>   6.10 MBps
12:16:14  931830.95 Bps   <==>   7.45 MBps
12:16:15 1033116.82 Bps   <==>   8.26 MBps
12:16:16 1189532.15 Bps   <==>   9.52 MBps
12:16:17  661898.84 Bps   <==>   5.30 MBps
12:16:18  606092.19 Bps   <==>   4.85 MBps
12:16:20  503314.93 Bps   <==>   4.03 MBps
12:16:21  383422.07 Bps   <==>   3.07 MBps
12:16:22  498923.36 Bps   <==>   3.99 MBps
12:16:23  590239.09 Bps   <==>   4.72 MBps
12:16:24  403804.01 Bps   <==>   3.23 MBps
12:16:26  561351.08 Bps   <==>   4.49 MBps
12:16:27  665602.57 Bps   <==>   5.32 MBps
12:16:28  809455.49 Bps   <==>   6.48 MBps
12:16:29  684990.82 Bps   <==>   5.48 MBps
12:16:30  605134.21 Bps   <==>   4.84 MBps
12:16:31  743342.89 Bps   <==>   5.95 MBps
12:16:32  886124.36 Bps   <==>   7.09 MBps
12:16:33  895785.89 Bps   <==>   7.17 MBps
12:16:34 1090838.40 Bps   <==>   8.73 MBps
12:16:36 1081642.90 Bps   <==>   8.65 MBps
12:16:37  714666.16 Bps   <==>   5.72 MBps
12:16:38  878829.56 Bps   <==>   7.03 MBps
12:16:39  952819.02 Bps   <==>   7.62 MBps
12:16:40 1105994.42 Bps   <==>   8.85 MBps
12:16:41 1215566.78 Bps   <==>   9.72 MBps
12:16:43 1129317.94 Bps   <==>   9.03 MBps
12:16:44  801722.11 Bps   <==>   6.41 MBps
12:16:45 1016720.92 Bps   <==>   8.13 MBps
12:16:46  919298.30 Bps   <==>   7.35 MBps
12:16:47 1127317.13 Bps   <==>   9.02 MBps
12:16:48 1306901.60 Bps   <==>   10.46 MBps
12:16:49 1338817.67 Bps   <==>   10.71 MBps
12:16:50  895071.69 Bps   <==>   7.16 MBps
12:16:51  893782.91 Bps   <==>   7.15 MBps
12:16:52  944827.32 Bps   <==>   7.56 MBps
12:16:53 1122371.53 Bps   <==>   8.98 MBps
12:16:54  871225.74 Bps   <==>   6.97 MBps
12:16:55  746890.79 Bps   <==>   5.98 MBps
12:16:56  885492.06 Bps   <==>   7.08 MBps
12:16:57 1000088.34 Bps   <==>   8.00 MBps
12:16:59  805382.15 Bps   <==>   6.44 MBps
12:17:00  675539.23 Bps   <==>   5.40 MBps
12:17:01  801233.81 Bps   <==>   6.41 MBps
12:17:02  928754.64 Bps   <==>   7.43 MBps
12:17:03 1037689.47 Bps   <==>   8.30 MBps
12:17:04  915556.54 Bps   <==>   7.32 MBps
12:17:06  538527.13 Bps   <==>   4.31 MBps
12:17:07  405315.57 Bps   <==>   3.24 MBps
12:17:08  389353.36 Bps   <==>   3.11 MBps
12:17:10  547751.71 Bps   <==>   4.38 MBps
12:17:11  660200.59 Bps   <==>   5.28 MBps
12:17:12  802628.04 Bps   <==>   6.42 MBps
12:17:13  897921.38 Bps   <==>   7.18 MBps
12:17:14 1012196.42 Bps   <==>   8.10 MBps
12:17:15 1160415.46 Bps   <==>   9.28 MBps
12:17:16  884237.04 Bps   <==>   7.07 MBps
